time (min),response
0.0,9.441130823357059e-37
0.01,1.767924872464276e-36
0.02,3.302351871789797e-36
0.03,6.153223295484511e-36
0.04,1.1436729061808358e-35
0.05,2.1204149480675261e-35
0.06,3.921568349453208e-35
0.07,7.234669028883874e-35
0.08,1.3313662242940128e-34
0.09,2.4439731568174043e-34
0.1,4.475230397670746e-34
0.11,8.174373534431206e-34
0.12,1.4894081122809302e-33
0.13,2.707030500223446e-33
0.14,4.9078674486211885e-33
0.15,8.875907881348114e-33
0.16,1.6012276382132112e-32
0.17,2.881467622370249e-32
0.18,5.172432483669629e-32
0.19,9.26182099424846e-32
0.2,1.6543159154925045e-31
0.21,2.9475492619019416e-31
0.22,5.238709338333547e-31
0.23,9.28770020263899e-31
0.24,1.6425279817471484e-30
0.25,2.8975978942065833e-30
0.26,5.098991165126543e-30
0.27,8.950581539972558e-30
0.28,1.5672531437523848e-29
0.29,2.73746137256112e-29
0.3,4.769554935494245e-29
0.31,8.289508267600197e-29
0.32,1.4371456803724742e-28
0.33,2.485386777581209e-28
0.34,4.287542049413805e-28
0.35,7.378092152512428e-28
0.36,1.266488025379135e-27
0.37,2.168600165048224e-27
0.38,3.7040712155898505e-27
0.39,6.311036180216263e-27
0.4,1.0726142703974111e-26
0.41,1.8184781583733597e-26
0.42,3.0753481296728317e-26
0.43,5.188026895374226e-26
0.44,8.730355964601108e-26
0.45,1.4654923149125575e-25
0.46,2.453901140933093e-25
0.47,4.0987607309466683e-25
0.48,6.8292045655973675e-25
0.49,1.1350364106458616e-24
0.5,1.88179212494682e-24
0.51,3.1121158007823703e-24
0.52,5.134074499725489e-24
0.53,8.448720992886349e-24
0.54,1.3868906612077032e-23
0.55,2.270994082606592e-23
0.56,3.7094743784231063e-23
0.57,6.044096852174412e-23
0.58,9.823657061160124e-23
0.59,1.5927139491499651e-22
0.6,2.5758778309906703e-22
0.61,4.1556187953325293e-22
0.62,6.687582945558723e-22
0.63,1.073558656453869e-21
0.64,1.7191175348861802e-21
0.65,2.7460512426640054e-21
0.66,4.375574269729185e-21
0.67,6.954804396121937e-21
0.68,1.1027023506464925e-20
0.69,1.7440353561280973e-20
