peak widths (min),min. resolution (fixed asym),peak asym,min. resolution (fixed width) 
0.08,2.1454545454545446,1.01,0.9632653061224493
0.09,1.8880000000000006,1.02,0.9632653061224488
0.1,1.7481481481481476,1.03,0.9440000000000003
0.11,1.573333333333333,1.04,0.9439999999999997
0.12,1.4303030303030306,1.05,0.9254901960784311
0.13,1.3485714285714288,1.06,0.9254901960784316
0.14,1.2756756756756753,1.07,0.9076923076923079
0.15,1.1799999999999995,1.08,0.8905660377358487
0.16,1.0976744186046514,1.09,0.9076923076923074
0.17,1.0260869565217388,1.1,0.8905660377358487
0.18,0.9833333333333331,1.11,0.8905660377358493
0.19,0.9254901960784316,1.12,0.8740740740740742
0.2,0.8740740740740742,1.13,0.8581818181818178
0.21,0.8428571428571425,1.14,0.8740740740740738
0.22,0.7999999999999998,1.15,0.8581818181818178
0.23,0.7612903225806454,1.16,0.8428571428571425
0.24,0.7261538461538464,1.17,0.8428571428571431
0.25,0.7044776119402982,1.18,0.8428571428571431
0.26,0.6742857142857144,1.19,0.8280701754385966
0.27,0.6465753424657537,1.2,0.8280701754385966
0.28,0.6210526315789472,1.21,0.8280701754385962
0.29,0.605128205128205,1.22,0.8280701754385962
0.3,0.5827160493827162,1.23,0.8137931034482757
0.31,0.5619047619047621,1.24,0.8137931034482757
0.32,0.5425287356321837,1.25,0.7999999999999998
0.33,0.5303370786516852,1.26,0.8000000000000003
0.34,0.5130434782608697,1.27,0.8000000000000003
0.35,0.4968421052631577,1.28,0.8000000000000003
0.36,0.4865979381443298,1.29,0.786666666666667
0.37,0.4767676767676766,1.3,0.786666666666667
0.38,0.46274509803921554,1.31,0.7737704918032785
0.39,0.4495238095238094,1.32,0.7737704918032785
0.4,0.4370370370370369,1.33,0.7737704918032785
0.41,0.4290909090909089,1.34,0.761290322580645
0.42,0.4176991150442476,1.35,0.761290322580645
0.43,0.40689655172413786,1.36,0.749206349206349
0.44,0.3999999999999999,1.37,0.7612903225806454
0.45,0.39008264462809905,1.38,0.7492063492063494
0.46,0.3806451612903227,1.39,0.7492063492063494
0.47,0.3716535433070867,1.4,0.7375000000000002
0.48,0.36589147286821694,1.41,0.7375000000000002
0.49,0.35757575757575744,1.42,0.7375000000000002
0.5,0.34962962962962973,1.43,0.7261538461538459
0.51,0.3420289855072465,1.44,0.7261538461538459
0.52,0.337142857142857,1.45,0.7261538461538459
0.53,0.33006993006992996,1.46,0.7151515151515149
0.54,0.3232876712328768,1.47,0.7151515151515149
0.55,0.318918918918919,1.48,0.7044776119402982
0.56,0.3146666666666666,1.49,0.7151515151515149
0.57,0.30849673202614386,1.5,0.7044776119402987
0.58,0.30256410256410265,1.51,0.7044776119402987
0.59,0.29685534591194956,1.52,0.7044776119402987
0.6,0.29316770186335395,1.53,0.6941176470588237
0.61,0.2878048780487806,1.54,0.6941176470588237
0.62,0.28263473053892224,1.55,0.6941176470588237
0.63,0.27764705882352936,1.56,0.684057971014493
0.64,0.27441860465116286,1.57,0.684057971014493
0.65,0.2697142857142858,1.58,0.674285714285714
0.66,0.2651685393258426,1.59,0.674285714285714
0.67,0.26222222222222213,1.6,0.674285714285714
0.68,0.25792349726775965,1.61,0.6647887323943661
0.69,0.25376344086021513,1.62,0.6647887323943661
0.7,0.24973544973544964,1.63,0.6555555555555553
0.71,0.2471204188481676,1.64,0.6647887323943661
0.72,0.24329896907216503,1.65,0.6647887323943661
0.73,0.23959390862944155,1.66,0.6555555555555553
0.74,0.23599999999999993,1.67,0.6555555555555553
0.75,0.23366336633663373,1.68,0.6465753424657532
0.76,0.23024390243902448,1.69,0.6465753424657532
0.77,0.22692307692307684,1.7,0.6465753424657532
0.78,0.2247619047619047,1.71,0.6378378378378377
0.79,0.22159624413145548,1.72,0.6378378378378377
0.8,0.2195348837209303,1.73,0.6378378378378377
0.81,0.21651376146788984,1.74,0.6293333333333332
0.82,0.2135746606334841,1.75,0.6293333333333332
0.83,0.21165919282511206,1.76,0.6210526315789472
